ID,Population,Service Area,Unlinked Passenger Miles,Passenger Trips,Total Federal Funding,Total State Funding,Total Local Funding,Name,State,FTA Region,Primary UZA Name,Primary UZA Code,Agency Type,Operating,Other Fund Amt,Program Description,Program Type,5309 - Capital Program Amt,Program Description,Program Type,5307 - UAF Amt,Program Description,Program Type,Other FTA Funds Amt,Program Description,Program Type,Usdot Grant Amt,Program Description,Program Type,5303 - FTA Metro Planning Amt,Program Description,Program Type,5308 - FTA Cleans Fuels Amt,Program Description,Program Type,5310 - FTA Capital Invest Amt,Program Description,Program Type,5310 - FTA Operating Assit Amt,Program Description,Program Type,5310 - FTA Capital Oper Amt,Program Description,Program Type,Other FTA Amount,Program Description,Program Type,5316 - FTA Job Access Rev Com,Program Description,Program Type,5311 - FTA Capital Invest Amt,Program Description,Program Type,5311 - FTA Operating Assit Amt,Program Description,Program Type,5311 - FTA Capital Oper Amt,Program Description,Program Type,5317 - FTA Capital Invest Amt,Program Description,Program Type,5317 - FTA Operating Assit Amt,Program Description,Program Type,5317 - FTA Capital Oper Amt,Program Description,Program Type,5320 - FTA Park Transit Amt,Program Description,Program Type,5309 - ARRA Guideway Amt,Program Description,Program Type,5309 - ARRA Capital Amt,Program Description,Program Type,5307 - ARRA UAP Amt,Program Description,Program Type,5307 - ARRA Capital Amt,Program Description,Program Type,5311 - ARRA Other UAP Amt,Program Description,Program Type,5311 - ARRA Other Capital Amt,Program Description,Program Type,ARRA Tigger Amt,Program Description,Program Type,ARRA Tiggger Multimod Discre Fund,Program Description,Program Type,Spent on Intercity - ARRA 5311 grants for operating expenses and,Program Description,Program Type,Spent on Operating - ARRA Other than Urbanized Area Formula fund,Program Description,Program Type,Spent on Operating - ARRA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Operating - FTA Special Needs of Elderly Individuals an,Program Description,Program Type,Spent on Operating - FTA Capital Program funds (§5309),Program Description,Program Type,Spent on Operating - FTA New Freedom Program funds (§5317),Program Description,Program Type,Spent on Operating - FTA Job Access and Reverse Commute Formula,Program Description,Program Type,Spent on Operating - FTA Other than Urbanized Area Formula funds,Program Description,Program Type,Spent on Operating - FTA Alternative Transportation in Parks and,Program Description,Program Type,Spent on Operating - FTA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Intercity - 5311 grants for operating expenses and prov,Program Description,Program Type,Spent on Operating - Other Federal funds,Program Description,Program Type,Spent on Operating - Other FTA funds,Program Description,Program Type,Capital,Other Fund Amt,Program Description,Program Type,5309 - Capital Program Amt,Program Description,Program Type,5307 - UAF Amt,Program Description,Program Type,Other FTA Funds Amt,Program Description,Program Type,Usdot Grant Amt,Program Description,Program Type,5303 - FTA Metro Planning Amt,Program Description,Program Type,5308 - FTA Cleans Fuels Amt,Program Description,Program Type,5310 - FTA Capital Invest Amt,Program Description,Program Type,5310 - FTA Operating Assit Amt,Program Description,Program Type,5310 - FTA Capital Oper Amt,Program Description,Program Type,Other FTA Amount,Program Description,Program Type,5316 - FTA Job Access Rev Com,Program Description,Program Type,5311 - FTA Capital Invest Amt,Program Description,Program Type,5311 - FTA Operating Assit Amt,Program Description,Program Type,5311 - FTA Capital Oper Amt,Program Description,Program Type,5317 - FTA Capital Invest Amt,Program Description,Program Type,5317 - FTA Operating Assit Amt,Program Description,Program Type,5317 - FTA Capital Oper Amt,Program Description,Program Type,5320 - FTA Park Transit Amt,Program Description,Program Type,5309 - ARRA Guideway Amt,Program Description,Program Type,5309 - ARRA Capital Amt,Program Description,Program Type,5307 - ARRA UAP Amt,Program Description,Program Type,5307 - ARRA Capital Amt,Program Description,Program Type,5311 - ARRA Other UAP Amt,Program Description,Program Type,5311 - ARRA Other Capital Amt,Program Description,Program Type,ARRA Tigger Amt,Program Description,Program Type,ARRA Tiggger Multimod Discre Fund,Program Description,Program Type,Spent on Intercity - ARRA 5311 grants for planning and capital e,Program Description,Program Type,Spent on Capital - ARRA Other than Urbanized Area Formula funds,Program Description,Program Type,Spent on Capital - ARRA TIGGER (Greenhouse Gas and Energy Reduct,Program Description,Program Type,Spent on Capital - ARRA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Capital - FTA Special Needs of Elderly Individuals and,Program Description,Program Type,Spent on Capital - FTA Capital Program funds (§5309),Program Description,Program Type,Spent on Capital - FTA New Freedom Program funds (§5317),Program Description,Program Type,Spent on Capital - FTA Job Access and Reverse Commute Formula Pr,Program Description,Program Type,Spent on Capital - FTA Other than Urbanized Area Formula funds (,Program Description,Program Type,Spent on Capital - FTA Alternative Transportation in Parks and P,Program Description,Program Type,Spent on Capital - FTA Tribal Transit funds (§5311),Program Description,Program Type,Spent on Intercity - 5311 grants for planning and capital expens,Program Description,Program Type,Spent on Capital - Other Federal funds,Program Description,Program Type,Spent on Capital - Other FTA funds,Program Description,Program Type
4198,"2,148,346",,,,,,,Municipality of Dorado,PR,6,"San Juan, PR",21,,,32491446,,Other Discretionary Grants,150338785,,Formula-Based,112912624,,Formula-Based,49099793,,Other Discretionary Grants,9868387,,Other Discretionary Grants,1235695,,Formula-Based,3160490,,Other Discretionary Grants,2522600,,Formula-Based,906133,,Formula-Based,213146,,Formula-Based,0,,Other Discretionary Grants,5618465,,Formula-Based,260367,,Formula-Based,241129,,Formula-Based,437232,,Formula-Based,318592,,Formula-Based,1050790,,Formula-Based,214417,,Formula-Based,740414,,Other Discretionary Grants,53215611,,ARRA Funds,117252002,,ARRA Funds,6683357,,ARRA Funds,12216619,,ARRA Funds,1704368,,ARRA Funds,254115,,ARRA Funds,4461187,,ARRA Funds,19924131,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,"2,148,346",,,,,,,Autonomous Municipality of Vega Alta,PR,9,"San Juan, PR",21,,,40887224,,Other Discretionary Grants,294448989,,Formula-Based,70472732,,Formula-Based,30090659,,Other Discretionary Grants,588007,,Other Discretionary Grants,1813119,,Formula-Based,2896062,,Other Discretionary Grants,94085,,Formula-Based,1143637,,Formula-Based,109756,,Formula-Based,0,,Other Discretionary Grants,154507,,Formula-Based,1157314,,Formula-Based,2835961,,Formula-Based,125764,,Formula-Based,1296882,,Formula-Based,1363254,,Formula-Based,365025,,Formula-Based,1058014,,Other Discretionary Grants,34167094,,ARRA Funds,151463577,,ARRA Funds,177188479,,ARRA Funds,4124772,,ARRA Funds,1356187,,ARRA Funds,377506,,ARRA Funds,4060625,,ARRA Funds,3214835,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,"2,441,770",,,,,,,Tampa Bay Area Regional Transportation Authority,FL,6,"Tampa-St. Petersburg, FL",17,,,42023424,,Other Discretionary Grants,31949078,,Formula-Based,264586481,,Formula-Based,30456695,,Other Discretionary Grants,36888763,,Other Discretionary Grants,1433298,,Formula-Based,35249,,Other Discretionary Grants,1171731,,Formula-Based,1143225,,Formula-Based,169430,,Formula-Based,0,,Other Discretionary Grants,4211161,,Formula-Based,1252899,,Formula-Based,3917003,,Formula-Based,518885,,Formula-Based,1089611,,Formula-Based,433228,,Formula-Based,207175,,Formula-Based,1069563,,Other Discretionary Grants,7065546,,ARRA Funds,64862852,,ARRA Funds,187403347,,ARRA Funds,2126149,,ARRA Funds,1314048,,ARRA Funds,80270,,ARRA Funds,4205459,,ARRA Funds,20606010,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,"2,148,346",,,,,,,Municipality of Guaynabo,PR,2,"San Juan, PR",21,,,58314437,,Other Discretionary Grants,456353234,,Formula-Based,89111723,,Formula-Based,43350997,,Other Discretionary Grants,49311909,,Other Discretionary Grants,1641189,,Formula-Based,367525,,Other Discretionary Grants,2262291,,Formula-Based,1544542,,Formula-Based,93973,,Formula-Based,0,,Other Discretionary Grants,2487853,,Formula-Based,1332396,,Formula-Based,2095186,,Formula-Based,701721,,Formula-Based,1838778,,Formula-Based,1128920,,Formula-Based,700848,,Formula-Based,1159938,,Other Discretionary Grants,36480436,,ARRA Funds,59155711,,ARRA Funds,183424962,,ARRA Funds,2165134,,ARRA Funds,1299653,,ARRA Funds,243236,,ARRA Funds,592522,,ARRA Funds,11053584,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,"2,148,346",,,,,,,Municipality of Maunabo,,2,"San Juan, PR",21,,,13706094,,Other Discretionary Grants,10825490,,Formula-Based,188056532,,Formula-Based,37930897,,Other Discretionary Grants,35749665,,Other Discretionary Grants,1195231,,Formula-Based,430604,,Other Discretionary Grants,1158586,,Formula-Based,764248,,Formula-Based,75970,,Formula-Based,0,,Other Discretionary Grants,3119617,,Formula-Based,370551,,Formula-Based,5038154,,Formula-Based,749167,,Formula-Based,296077,,Formula-Based,726592,,Formula-Based,642441,,Formula-Based,1446171,,Other Discretionary Grants,48997756,,ARRA Funds,85471045,,ARRA Funds,144515753,,ARRA Funds,5783893,,ARRA Funds,1557607,,ARRA Funds,299258,,ARRA Funds,5777737,,ARRA Funds,651992,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,"4,515,419",,,,,,,Enterprise Rideshare,GA,2,"Atlanta, GA",9,,,18614125,,Other Discretionary Grants,35617094,,Formula-Based,58590877,,Formula-Based,13629595,,Other Discretionary Grants,57768187,,Other Discretionary Grants,1526476,,Formula-Based,408321,,Other Discretionary Grants,2267506,,Formula-Based,342856,,Formula-Based,95856,,Formula-Based,0,,Other Discretionary Grants,3639687,,Formula-Based,326336,,Formula-Based,2660589,,Formula-Based,535476,,Formula-Based,1014551,,Formula-Based,220991,,Formula-Based,456110,,Formula-Based,301671,,Other Discretionary Grants,29073455,,ARRA Funds,37873877,,ARRA Funds,158666430,,ARRA Funds,4766757,,ARRA Funds,1209732,,ARRA Funds,357205,,ARRA Funds,2042425,,ARRA Funds,17219073,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4205,"1,249,442",,,,,,,Iredell County Area Transportation Services,NC,1,"Charlotte, NC-SC",38,,,12740396,,Other Discretionary Grants,261780188,,Formula-Based,10095201,,Formula-Based,16921150,,Other Discretionary Grants,6361700,,Other Discretionary Grants,1267818,,Formula-Based,3837085,,Other Discretionary Grants,102701,,Formula-Based,867203,,Formula-Based,70777,,Formula-Based,0,,Other Discretionary Grants,5510704,,Formula-Based,19382,,Formula-Based,2803022,,Formula-Based,24771,,Formula-Based,1185029,,Formula-Based,136313,,Formula-Based,553889,,Formula-Based,119484,,Other Discretionary Grants,21360726,,ARRA Funds,91017166,,ARRA Funds,115080923,,ARRA Funds,7090952,,ARRA Funds,1229684,,ARRA Funds,342332,,ARRA Funds,5341931,,ARRA Funds,2179460,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,"548,404",,,,,,,Berkeley Charleston Dorchester RTMA,,4,"Charleston-North Charleston, SC",76,,,20595940,,Other Discretionary Grants,364399473,,Formula-Based,278610490,,Formula-Based,21095464,,Other Discretionary Grants,706213,,Other Discretionary Grants,1915199,,Formula-Based,3869167,,Other Discretionary Grants,478452,,Formula-Based,508070,,Formula-Based,33769,,Formula-Based,0,,Other Discretionary Grants,912656,,Formula-Based,1078814,,Formula-Based,1514150,,Formula-Based,588794,,Formula-Based,1119083,,Formula-Based,780560,,Formula-Based,661912,,Formula-Based,726735,,Other Discretionary Grants,37261088,,ARRA Funds,150457509,,ARRA Funds,25635796,,ARRA Funds,1934876,,ARRA Funds,790834,,ARRA Funds,153384,,ARRA Funds,37456,,ARRA Funds,18357353,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,"400,492",,,,,,,City of Clemson/ Clemson Area Transit,SC,6,"Greenville, SC",93,,,51964596,,Other Discretionary Grants,27963498,,Formula-Based,34384112,,Formula-Based,3912743,,Other Discretionary Grants,24064430,,Other Discretionary Grants,1995321,,Formula-Based,240006,,Other Discretionary Grants,171150,,Formula-Based,785741,,Formula-Based,219694,,Formula-Based,0,,Other Discretionary Grants,4500774,,Formula-Based,1847228,,Formula-Based,2425311,,Formula-Based,639243,,Formula-Based,602295,,Formula-Based,1378747,,Formula-Based,344269,,Formula-Based,1108123,,Other Discretionary Grants,30642316,,ARRA Funds,71266713,,ARRA Funds,184446887,,ARRA Funds,1318284,,ARRA Funds,36699,,ARRA Funds,121634,,ARRA Funds,2976256,,ARRA Funds,15900836,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4209,"310,282",,,,,,,Hoke County,NC,4,"Fayetteville, NC",122,,,11460932,,Other Discretionary Grants,272304181,,Formula-Based,221150876,,Formula-Based,50983955,,Other Discretionary Grants,24991640,,Other Discretionary Grants,383525,,Formula-Based,513602,,Other Discretionary Grants,1623749,,Formula-Based,413176,,Formula-Based,189094,,Formula-Based,0,,Other Discretionary Grants,904748,,Formula-Based,99857,,Formula-Based,2864276,,Formula-Based,331278,,Formula-Based,1666091,,Formula-Based,461941,,Formula-Based,767700,,Formula-Based,319289,,Other Discretionary Grants,51621216,,ARRA Funds,90406549,,ARRA Funds,59340806,,ARRA Funds,10720764,,ARRA Funds,2058334,,ARRA Funds,217131,,ARRA Funds,408930,,ARRA Funds,2237389,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,"50,503",,,,,,,Craven County,NC,5,"New Bern, NC",495,,,63480671,,Other Discretionary Grants,152346266,,Formula-Based,165183593,,Formula-Based,37586717,,Other Discretionary Grants,48713207,,Other Discretionary Grants,1989876,,Formula-Based,3865681,,Other Discretionary Grants,1171934,,Formula-Based,268863,,Formula-Based,127753,,Formula-Based,0,,Other Discretionary Grants,4269256,,Formula-Based,1582099,,Formula-Based,2965622,,Formula-Based,643751,,Formula-Based,1125981,,Formula-Based,316202,,Formula-Based,569663,,Formula-Based,880479,,Other Discretionary Grants,32612050,,ARRA Funds,164932084,,ARRA Funds,181170728,,ARRA Funds,11180702,,ARRA Funds,1474455,,ARRA Funds,189250,,ARRA Funds,3963878,,ARRA Funds,17069193,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4212,"972,546",,,,,,,"HDB Service Group, Inc.",,3,"Louisville/Jefferson County, KY-IN",43,,,53469246,,Other Discretionary Grants,158951986,,Formula-Based,36408349,,Formula-Based,44441078,,Other Discretionary Grants,26355369,,Other Discretionary Grants,1343079,,Formula-Based,2574784,,Other Discretionary Grants,2392253,,Formula-Based,213602,,Formula-Based,15007,,Formula-Based,0,,Other Discretionary Grants,2525846,,Formula-Based,417427,,Formula-Based,1655719,,Formula-Based,468439,,Formula-Based,720138,,Formula-Based,1343736,,Formula-Based,824217,,Formula-Based,1267200,,Other Discretionary Grants,3644633,,ARRA Funds,123742412,,ARRA Funds,183068591,,ARRA Funds,2181517,,ARRA Funds,757802,,ARRA Funds,79883,,ARRA Funds,1552800,,ARRA Funds,13351074,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4213,"263,907",,,,,,,Autauga County Commission,AL,3,"Montgomery, AL",142,,,49908583,,Other Discretionary Grants,545329617,,Formula-Based,103596451,,Formula-Based,9165229,,Other Discretionary Grants,32554065,,Other Discretionary Grants,600932,,Formula-Based,786011,,Other Discretionary Grants,820888,,Formula-Based,1067545,,Formula-Based,3354,,Formula-Based,0,,Other Discretionary Grants,3912120,,Formula-Based,1236033,,Formula-Based,736051,,Formula-Based,677633,,Formula-Based,44373,,Formula-Based,965923,,Formula-Based,561740,,Formula-Based,925915,,Other Discretionary Grants,32080944,,ARRA Funds,179587905,,ARRA Funds,127961239,,ARRA Funds,9748439,,ARRA Funds,123989,,ARRA Funds,242611,,ARRA Funds,4151284,,ARRA Funds,18586844,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4214,"214,881",,,,,,,Cabarrus County Transportation Services,NC,8,"Concord, NC",167,,,17694921,,Other Discretionary Grants,388112500,,Formula-Based,212283748,,Formula-Based,13047091,,Other Discretionary Grants,14649207,,Other Discretionary Grants,1829165,,Formula-Based,3229491,,Other Discretionary Grants,694681,,Formula-Based,553408,,Formula-Based,162621,,Formula-Based,0,,Other Discretionary Grants,4348690,,Formula-Based,1358555,,Formula-Based,3334284,,Formula-Based,682702,,Formula-Based,482309,,Formula-Based,795521,,Formula-Based,281087,,Formula-Based,42655,,Other Discretionary Grants,24078749,,ARRA Funds,148593975,,ARRA Funds,69533494,,ARRA Funds,3434074,,ARRA Funds,650979,,ARRA Funds,197986,,ARRA Funds,4480240,,ARRA Funds,12951520,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,"216,154",,,,,,,City of Appleton - Valley Transit,WI,8,"Appleton, WI",165,,,39239826,,Other Discretionary Grants,536693047,,Formula-Based,175486440,,Formula-Based,21465128,,Other Discretionary Grants,38448874,,Other Discretionary Grants,1287697,,Formula-Based,1457102,,Other Discretionary Grants,2050575,,Formula-Based,603244,,Formula-Based,58735,,Formula-Based,0,,Other Discretionary Grants,1809802,,Formula-Based,913961,,Formula-Based,243205,,Formula-Based,698820,,Formula-Based,912606,,Formula-Based,416671,,Formula-Based,37913,,Formula-Based,1329718,,Other Discretionary Grants,35853288,,ARRA Funds,104454421,,ARRA Funds,95790198,,ARRA Funds,3540379,,ARRA Funds,1165949,,ARRA Funds,304273,,ARRA Funds,2513116,,ARRA Funds,1176177,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Other Discretionary Grants,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Formula-Based,,,Other Discretionary Grants,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,ARRA Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
